点索引, X, Y, Z, 遮蔽时长(s)
1, 0.0, 200.0, 5.0, 1.4055
2, 7.0, 200.0, 10.0, 1.4273
3, 4.9, 204.9, 10.0, 1.4143
4, 0.0, 207.0, 10.0, 1.4110
5, -4.9, 204.9, 10.0, 1.4195
6, -7.0, 200.0, 10.0, 1.4350
7, -4.9, 195.1, 10.0, 1.4482
8, -0.0, 193.0, 10.0, 1.4514
9, 4.9, 195.1, 10.0, 1.4427
10, 7.0, 200.0, 2.5, 1.3893
11, 4.9, 204.9, 2.5, 1.3772
12, 0.0, 207.0, 2.5, 1.3743
13, -4.9, 204.9, 2.5, 1.3823
14, -7.0, 200.0, 2.5, 1.3966
15, -4.9, 195.1, 2.5, 1.4089
16, -0.0, 193.0, 2.5, 1.4118
17, 4.9, 195.1, 2.5, 1.4036
18, 7.0, 200.0, 7.5, 1.4145
19, 4.9, 204.9, 7.5, 1.4018
20, 0.0, 207.0, 7.5, 1.3986
21, -4.9, 204.9, 7.5, 1.4070
22, -7.0, 200.0, 7.5, 1.4220
23, -4.9, 195.1, 7.5, 1.4350
24, -0.0, 193.0, 7.5, 1.4380
25, 4.9, 195.1, 7.5, 1.4295
26, 7.0, 200.0, 0.0, 1.3770
27, 4.9, 204.9, 0.0, 1.3652
28, 0.0, 207.0, 0.0, 1.3624
29, -4.9, 204.9, 0.0, 1.3702
30, -7.0, 200.0, 0.0, 1.3843
31, -4.9, 195.1, 0.0, 1.3962
32, -0.0, 193.0, 0.0, 1.3989
33, 4.9, 195.1, 0.0, 1.3909
